dataset,metric,mean,std,min,max
cyber,accuracy,0.525,0.029344694769431686,0.475,0.5666666666666667
cyber,balanced_accuracy,0.24552317247969419,0.021479031606025992,0.21923076923076923,0.28422619047619047
cyber,f1_weighted,0.4260880178208444,0.022293299308499825,0.38968636266324125,0.45878350726417033
video,accuracy,0.9999763079212075,2.5953494954792237e-05,0.9999289234268385,1.0
video,balanced_accuracy,0.999975300817842,2.5896445661988827e-05,0.9999343142406727,1.0
video,f1,0.9999343220053433,7.194096802076595e-05,0.9998029815459382,1.0
video,roc_auc,0.9999999992405393,1.5189214774835591e-09,0.9999999962026963,1.0
