dataset,mean_free_energy,mean_adaptive_free_energy,mean_uncertainty,mean_model_risk,mean_model_confidence,mean_severity_potential,high_risk_rate
cyber,0.571139501924202,0.5446323761892422,0.9196328442453553,0.5906225023808032,0.41497071679174874,0.423295271350428,0.16
video,0.1646045844699324,0.25155003045219954,0.003424277811431618,0.1803602505065762,0.9995449297783123,0.3899364472238507,0.042872576334792745
