dataset,step,risk,effective_risk,action,cumulative_risk,workload,passive_recovery,risk_drain,mitigation_gain,workload_penalty,resilience
cyber,0,1.0,1.0,escalate,1.0,0.145,0.0,0.06,0.00975,0.005039729305206304,0.9447102706947936
cyber,1,0.9402135178673574,0.9402135178673574,escalate,1.9002135178673574,0.27549999999999997,0.0011057945861041275,0.05641281107204144,0.00975,0.009405729726287127,0.8897475244825692
cyber,2,0.9083016224784175,0.9083016224784175,escalate,2.7325065996310807,0.39294999999999997,0.0022050495103486155,0.054498097348705046,0.00975,0.013086521267870844,0.834117955376342
cyber,3,0.8972500891840838,0.8972500891840838,escalate,3.5204564248299213,0.49865499999999996,0.0033176408924731593,0.053835005351045025,0.00975,0.016137055474160847,0.7772135354436093
cyber,4,0.8753218387410687,0.8753218387410687,escalate,4.254960006577793,0.5937895,0.004455729291127815,0.05251931032446412,0.00975,0.018641545350139767,0.7202584090601333
cyber,5,0.8740836999619329,0.8740836999619329,escalate,4.958845306276614,0.6794105500000001,0.005594831818797334,0.052445021997715974,0.00975,0.020689762013905617,0.6624684568673092
cyber,6,0.8372567073455798,0.8372567073455798,contain,5.597748201371129,0.706469495,0.006750630862653817,0.05023540244073479,0.00675,0.021296035998975556,0.6044376492902527
cyber,7,0.8330682108791893,0.8330682108791893,contain,6.206906484195473,0.7308225455,0.007911247014194947,0.049984092652751354,0.00675,0.02182489107562718,0.5472899125760692
cyber,8,0.832549027953397,0.832549027953397,contain,6.791179252781051,0.7527402909500001,0.009054201748478617,0.04995294167720382,0.00675,0.022287332429396685,0.49085384021794737
cyber,9,0.8307726483750794,0.8307726483750794,contain,7.350304731044888,0.772466261855,0.010182923195641052,0.04984635890250476,0.00675,0.022692643774041645,0.43524776073704197
cyber,10,0.8251588022206473,0.8251588022206473,contain,7.8814513440237395,0.7902196356695,0.01129504478525916,0.049509528133238834,0.00675,0.023048670436042605,0.3807346069530197
cyber,11,0.8002905780926992,0.8002905780926992,contain,8.36648386835549,0.80619767210255,0.012385307860939606,0.04801743468556195,0.00675,0.023362057804393967,0.32849042232400333
cyber,12,0.7997778536221644,0.7997778536221644,contain,8.831602367243434,0.820577904892295,0.013430191553519934,0.04798667121732986,0.00675,0.023638450310957328,0.27704549234923603
cyber,13,0.7794444646732913,0.7794444646732913,contain,9.257782737226988,0.8335201144030655,0.01445909015301528,0.046766667880397475,0.00675,0.02388265654314512,0.2276052580787087
cyber,14,0.7770236888294643,0.7770236888294643,contain,9.664495116567371,0.8451681029627589,0.015447894838425827,0.046621421329767855,0.00675,0.02409878583764596,0.17908294574972072
